Country,Spam,Ransomware,Local Infection,Exploit,Malicious Mail,Network Attack,On Demand Scan,Web Threat,Total Threat Score
Republic of Burundi,5.6867469879518076e-05,9.203508771929825e-05,0.02714812987012987,0.00039661157024793384,0.000267289156626506,0.0012532474226804125,0.015982890625,0.008966649214659686,0.05416372041694323
Republic of Cabo Verde,0.0004868351063829787,0.00029425531914893617,0.018490805194805195,0.00029655913978494626,0.001230636942675159,0.002897319587628866,0.014035416666666667,0.016782539267015707,0.054514367224108455
Republic of Cameroon,0.00025767441860465116,0.00014798927613941018,0.02743212987012987,0.0003121487603305785,0.0005715721649484536,0.003310850515463918,0.018531302083333333,0.010476858638743456,0.06104052572769367
Republic of Chad,2.163265306122449e-05,8.24025974025974e-05,0.017196155844155844,0.000525,0.00013356643356643357,0.00031475757575757577,0.010004583333333332,0.0053245287958115185,0.03360262723308853
Republic of Chile,0.0026331958762886598,5.402203856749311e-05,0.00525561038961039,0.0001859504132231405,0.0014668041237113402,0.0025121649484536085,0.005241536458333334,0.009392958115183246,0.026742242363371208
Republic of China (Taiwan),0.0033115463917525773,0.00020550802139037433,0.010694727272727272,0.0006499173553719008,0.001756958762886598,0.007113118556701031,0.00798265625,0.015984109947643977,0.047698542558473736
Republic of Colombia,0.003118170103092784,4.561497326203209e-05,0.010360753246753247,0.00017077134986225896,0.001098041237113402,0.0026688917525773195,0.007915859374999999,0.010439633507853404,0.03581773554551444
Republic of Costa Rica,0.0003256443298969072,3.72e-05,0.00790722077922078,0.00016856749311294767,0.001221520618556701,0.002031958762886598,0.0071453125,0.006858664921465969,0.025696089405139903
Republic of Croatia,0.004055618556701031,9.68125e-05,0.010636259740259741,0.00022630853994490358,0.0033784536082474225,0.000984278350515464,0.006713619791666667,0.015331439790575916,0.04142279087791115
Republic of Cuba,0.0006008785529715762,9.683794466403162e-05,0.011827974025974027,0.00015148367952522255,0.001045759162303665,0.00044049222797927463,0.007909973958333334,0.009510287958115184,0.031583687509866315
Republic of Cyprus,0.0004799740932642487,7.216535433070867e-05,0.009456051948051948,0.00028550964187327825,0.001967216494845361,0.0005437886597938144,0.007130625000000001,0.014979554973821991,0.03491488616598135
Republic of Côte d'Ivoire,0.0004918087855297158,7.778074866310161e-05,0.02566745454545455,0.0003729752066115703,0.0007544587628865979,0.0010946907216494845,0.016495572916666666,0.012281256544502617,0.057235998231964305
Republic of Djibouti,9e-05,8.261904761904762e-05,0.014999532467532467,0.00039440677966101693,0.00056646408839779,0.0012259685863874345,0.012386328125,0.01816274869109948,0.047908067785697235
Republic of Ecuador,0.0007185824742268041,5.8529411764705884e-05,0.012012233766233766,0.0001709090909090909,0.0011589175257731958,0.0021696907216494847,0.008484895833333334,0.0170065445026178,0.04178030332650818
