Country,Spam,Ransomware,Local Infection,Exploit,Malicious Mail,Network Attack,On Demand Scan,Web Threat,Total Threat Score
Republic of El Salvador,0.00012944444444444445,5.0121457489878544e-05,0.00781722077922078,0.00010661442006269592,0.0007329120879120879,0.001232938144329897,0.006923411458333333,0.009945785340314137,0.026938448132107252
Republic of Equatorial Guinea,4.667701863354037e-05,0.0004911666666666667,0.02609664935064935,0.0021654213483146066,0.0010035775862068967,0.0020005993690851735,0.018098437499999998,0.01372303664921466,0.0636255654887709
Republic of Estonia,0.0004256955380577428,6.933908045977012e-05,0.010739896103896104,0.000655840220385675,0.002155994832041344,0.006428634020618557,0.006967630208333333,0.017981832460732986,0.04542486246452551
Republic of Fiji,5.712121212121212e-05,0.0002726086956521739,0.008903896103896103,0.0004600903614457831,0.0036232625994694957,0.0008935405405405406,0.007005989583333334,0.009809764397905759,0.031026273494364404
Republic of Finland,0.008131288659793814,4.5294117647058826e-05,0.004735220779220779,0.00015741046831955924,0.0002852454780361757,0.0015002577319587628,0.0027934114583333335,0.00840955497382199,0.026057683667131473
Republic of Ghana,0.0006036855670103092,7.936231884057971e-05,0.015693896103896106,0.0002203581267217631,0.0007784536082474226,0.001935541237113402,0.010581197916666667,0.013764973821989528,0.04365746870048577
Republic of Guatemala,0.00024919896640826874,2.895081967213115e-05,0.009606623376623376,0.00016292011019283746,0.0006731347150259068,0.0006301546391752577,0.006583776041666666,0.013274685863874345,0.03120944453263879
Republic of Guinea,3.863905325443787e-05,5.575000000000001e-05,0.020583974025974026,0.00035160664819944596,0.0005573504273504274,0.0009054381443298969,0.012768411458333332,0.007299502617801047,0.042560672375242616
Republic of Guinea-Bissau,1.8e-05,0.00023333333333333333,0.02697166233766234,0.00077671875,0.0003626666666666667,0.0007397744360902256,0.018023645833333334,0.011905287958115183,0.05903108931520108
Republic of Haiti,3.861003861003861e-05,0.00014430232558139533,0.007286597402597403,0.0004342033898305085,0.0004875548589341693,0.0015858,0.006719192708333333,0.0054935078534031415,0.02218976857728999
Republic of Honduras,0.00024546632124352333,3.790035587188612e-05,0.010647220779220779,0.0003862534435261708,0.001074481865284974,0.0008676030927835052,0.007430182291666667,0.012378115183246073,0.03306722333284358
Republic of India,0.015358788659793813,7.810160427807486e-05,0.009539038961038962,0.00044782369146005515,0.000471159793814433,0.0029159278350515466,0.007223932291666666,0.011968219895287959,0.04800299273239151
Republic of Indonesia,0.006464742268041237,0.00015122994652406416,0.011875974025974028,0.00016837465564738293,0.001649819587628866,0.009345180412371134,0.009760442708333332,0.011431596858638742,0.05084736046315878
Republic of Iraq,0.0007680154639175257,0.0002270053475935829,0.016103766233766234,0.0005343801652892562,0.0005442525773195876,0.0009666494845360825,0.011288984375,0.013985130890052357,0.04441818453747462
Republic of Ireland,0.00631,3.767123287671233e-05,0.006614051948051948,0.0003533884297520661,0.0005333247422680413,0.0007749742268041238,0.005570572916666666,0.011879633507853404,0.03207361700427296
Republic of Kazakhstan,0.011092036082474227,6.77005347593583e-05,0.02601438961038961,0.00015685950413223143,0.0003025322997416021,0.001510979381443299,0.015988203125,0.015244921465968585,0.0703776220039089
Republic of Kenya,0.0017354896907216496,4.432795698924731e-05,0.01801553246753247,0.00047457300275482095,0.0017229639175257733,0.0026033505154639176,0.012796770833333334,0.016930366492146597,0.05432337487646781
Republic of Korea,0.009365309278350515,0.0006433422459893048,0.00885587012987013,0.0001209090909090909,0.0012595876288659794,0.020741108247422677,0.006579635416666667,0.011832565445026177,0.05939832748310054
Republic of Latvia,0.004179175257731959,5.662162162162162e-05,0.01314025974025974,0.0008190082644628099,0.001730541237113402,0.002656340206185567,0.007497656250000001,0.019523272251308902,0.049602874828684
Republic of Liberia,3.43e-05,0.0004266666666666667,0.012844337662337663,0.0005447517730496455,0.001914015444015444,0.0077076582278481015,0.00966796875,0.010183350785340314,0.04332304930925783
Republic of Lithuania,0.003474278350515464,5.47463768115942e-05,0.011411688311688312,0.0004957024793388429,0.001984020618556701,0.0013192525773195877,0.007082578125,0.01822937172774869,0.04405163856697919
Republic of Madagascar,0.00013269503546099292,0.00015000000000000001,0.02073342857142857,0.00013983539094650208,0.0016264207650273223,0.00382229381443299,0.018335624999999998,0.016545523560209423,0.061485822137505794
Republic of Malawi,0.007241417525773196,9.59271523178808e-05,0.019136987012987015,0.0004378611111111111,0.0012045118733509236,0.001362242268041237,0.013371588541666667,0.019330523560209426,0.062181059045457454
Republic of Mali,5.803827751196172e-05,4.011527377521614e-05,0.02287877922077922,0.000478236914600551,0.00043571052631578947,0.0007544072164948454,0.015516380208333333,0.008979921465968587,0.0491415891037795
